Name,Company,Level,MarketTime,Engine,Gearbox,LWH,BodyStructure,MaximunSpeed,FuelConsumption,EngineCapacity,EngineForm,GearboxType,ParkingBrakeType,PSAirbag,BASideAirbag,BAHeadAirbag,TirePressure,SeatBeltWarning,ChildSeat,ABS,EBD,EBA,ASR,ESC,MergeSupport,DeviationWarning,SecuritySystem,NightVersion,ParkingRadar,ParkingVideo,PanoramicCamera,Cruise,AdaptiveCruise,AutomaticParking,EngineAutomatic,UphillSupport,AutomaticSkylight,PanoramicSkylight,Rims,AutomaticDoor,AutomaticTrunk,InduceTrunk,RoofRacks,EngineAntiTheft,ParkingLock,RemoteKey,KeylessStart,KeylessEntry,SteeringWheel,SeatMaterial,SeatAdjust,PSSeatAdjust,AfterSeatAdjust,SeatMemory,SeatFallDown,CentralArmrest,CupHolder,GPS,Positioning,Screen,ScreenSize,Interface,CDDVD,Speaker,LowLights,HighLights,LED,AdaptiveLights,HeadLights,SupportLights,FogLights,AtmosphereLights,AutomaticWindow,WindowLift,WindowAntiClipHand,InsulatedGlass,AutomaticRearviewAdjust,AutomaticRearviewFold,MakeupMirror,Wipers,InduceWipers,AirConditioning,WindOutlet
"RAV4荣放 2016款 2.0L CVT两驱都市版",一汽丰田,紧凑型SUV,2016.07,"2.0L 151马力 L4",CVT无级变速(模拟,4600*1845*1690,5门5座SUV,175,6.4,2.0,自然吸气,无级变速箱(CVT),手刹,"主● / 副●","前● / 后-","前● / 后●",-,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,-,-,-,-,●,●,●,-,-,-,织物,●,-,-,-,比例放倒,"前● / 后●",●,-,-,-,-,USB+AUX,单碟CD,4-5喇叭,卤素,卤素,-,-,-,-,●,-,"前● / 后●",主驾驶位,●,●,●,-,●,●,-,手动●,-
"Yeti 2017款 TSI280 DSG创行版",上汽斯柯达,小型SUV,2016.09,"1.4T 150马力 L4",7挡双离合,4459*1793*1682,5门5座SUV,190,6.3,1.4,涡轮增压,双离合变速箱(DCT,手刹,"主● / 副●","前● / 后-",-,●,●,●,●,●,●,●,●,-,-,-,-,"前- / 后●",-,-,-,-,-,-,●,●,●,●,-,-,-,●,●,●,●,○,○,●,真皮,●,-,-,-,比例放倒,"前● / 后-",-,●,-,●,-,USB+SD卡插槽,-,8-9喇叭,卤素,卤素,-,-,-,●,●,-,"前● / 后●",-,●,●,●,-,●,●,-,自动●,●
"Yeti 2017款 TSI280 DSG车享兄弟版",上汽斯柯达,小型SUV,2016.09,"1.4T 150马力 L4",7挡双离合,4275*1793*1682,5门5座SUV,190,6.3,1.4,涡轮增压,双离合变速箱(DCT,手刹,"主● / 副●","前● / 后-",-,-,●,●,●,●,●,●,●,-,-,-,-,"前- / 后●",-,-,-,-,-,-,●,●,●,●,-,-,-,●,●,●,●,-,-,●,真皮,●,-,-,-,比例放倒,-,-,●,-,●,-,USB+SD卡插槽,-,4-5喇叭,卤素,卤素,-,-,-,●,●,-,"前● / 后●",-,●,●,●,-,●,●,-,手动●,-
"东风风神AX3 2016款 1.5L 自动尊酷型",东风乘用车,小型SUV,2015.12,"1.5L 116马力 L4",4挡自动,4518*1740*1562,5门5座SUV,165,6.6,1.5,自然吸气,自动变速箱(AT),手刹,"主● / 副●","前● / 后-","前● / 后●",-,●,●,●,●,●,●,●,-,-,-,-,"前- / 后●",●,-,-,-,-,-,-,●,-,●,-,-,-,●,●,●,●,-,-,●,织物,●,-,-,-,比例放倒,"前● / 后-",-,●,-,●,7英寸,USB+AUX+SD,-,6-7喇叭,卤素,卤素,●,-,-,-,●,-,"前● / 后●",主驾驶位,●,●,●,-,●,●,-,手动●,-
"东风风神AX5 2017款 1.4T 自动趣享型",东风乘用车,紧凑型SUV,2016.11,"1.4T 140马力 L4",6挡双离合,4501*1806*1650,5门5座SUV,175,6.9,1.4,涡轮增压,双离合变速箱(DCT,手刹,"主● / 副●","前● / 后-","前● / 后●",●,●,●,●,●,●,●,●,-,-,-,-,"前- / 后●",●,-,-,-,-,●,●,●,-,●,-,-,-,●,●,●,●,●,●,●,真皮,●,"主● / 副-",-,-,比例放倒,"前● / 后●",●,-,-,●,8英寸,USB+AUX+SD,-,6-7喇叭,卤素,卤素,●,-,-,-,●,●,"前● / 后●",主驾驶位,●,-,●,-,●,●,-,手动●,-
"东风风神AX5 2017款 1.4T 自动趣尊型",东风乘用车,紧凑型SUV,2016.11,"1.4T 140马力 L4",6挡双离合,4501*1806*1650,5门5座SUV,175,6.9,1.4,涡轮增压,双离合变速箱(DCT,手刹,"主● / 副●","前● / 后-","前● / 后●",●,●,●,●,●,●,●,●,●,-,-,-,"前- / 后●",●,●,●,-,-,●,●,●,-,●,-,-,-,●,●,●,●,●,●,●,真皮,●,"主● / 副-",-,-,比例放倒,"前● / 后●",●,●,●,●,8英寸,USB+AUX+SD,-,6-7喇叭,卤素,卤素,●,-,-,-,●,●,"前● / 后●",全车,●,-,●,-,●,●,-,手动●,●
"东风风神AX5 2017款 1.4T 自动趣尚型",东风乘用车,紧凑型SUV,2016.11,"1.4T 140马力 L4",6挡双离合,4501*1806*1650,5门5座SUV,175,6.9,1.4,涡轮增压,双离合变速箱(DCT,手刹,"主● / 副●",-,-,-,●,●,●,●,●,●,●,-,-,-,-,"前- / 后●",●,-,-,-,-,●,●,-,-,●,-,-,-,●,●,●,●,-,-,●,织物,●,-,-,-,比例放倒,"前● / 后-",-,-,-,●,7英寸,USB+AUX,-,6-7喇叭,卤素,卤素,●,-,-,-,●,-,"前● / 后●",主驾驶位,●,-,●,-,●,●,-,手动●,-
"东风风神AX5 2017款 1.4T 自动趣悦型",东风乘用车,紧凑型SUV,2016.11,"1.4T 140马力 L4",6挡双离合,4501*1806*1650,5门5座SUV,175,6.9,1.4,涡轮增压,双离合变速箱(DCT,手刹,"主● / 副●","前● / 后-","前● / 后●",●,●,●,●,●,●,●,●,-,-,-,-,"前- / 后●",●,-,-,-,-,●,●,●,-,●,-,-,-,●,●,●,●,●,●,●,皮/织物混搭,●,-,-,-,比例放倒,"前● / 后-",-,-,-,●,7英寸,USB+AUX,-,6-7喇叭,卤素,卤素,●,-,-,-,●,-,"前● / 后●",主驾驶位,●,-,●,-,●,●,-,手动●,-
"东风风神AX7 2016款 2.0L 自动智逸型",东风乘用车,紧凑型SUV,2016.04,"2.0L 147马力 L4",6挡手自一体,4690*1850*1727,5门5座SUV,180,8.7,2.0,自然吸气,手自一体变速箱(AT,电子驻车,"主● / 副●","前● / 后-","前● / 后●",●,●,●,●,●,●,●,●,-,-,-,-,"前- / 后●",●,●,●,-,-,-,●,●,-,●,-,-,-,●,●,●,●,●,●,●,仿皮,●,-,-,-,比例放倒,"前● / 后●",●,●,-,●,9英寸,USB+AUX+SD,-,6-7喇叭,卤素,卤素,●,-,-,●,●,●,"前● / 后●",全车,●,-,●,●,●,●,-,自动●,●
"东风风神AX7 2016款 2.3L 自动智尊型",东风乘用车,紧凑型SUV,2016.04,"2.3L 171马力 L4",6挡手自一体,4690*1850*1727,5门5座SUV,185,9.5,2.3,自然吸气,手自一体变速箱(AT,电子驻车,"主● / 副●","前● / 后-","前● / 后●",●,●,●,●,●,●,●,●,-,-,-,-,"前- / 后●",●,●,●,-,-,-,●,●,-,●,-,-,-,●,●,●,●,●,●,●,仿皮,●,"主● / 副-",-,●,比例放倒,"前● / 后●",●,●,-,●,9英寸,USB+AUX+SD,-,6-7喇叭,卤素,卤素,●,-,-,●,●,●,"前● / 后●",全车,●,-,●,●,●,●,-,自动●,●
