Name,Company,Level,MarketTime,Engine,Gearbox,LWH,BodyStructure,MaximunSpeed,FuelConsumption,EngineCapacity,EngineForm,GearboxType,ParkingBrakeType,PSAirbag,BASideAirbag,BAHeadAirbag,TirePressure,SeatBeltWarning,ChildSeat,ABS,EBD,EBA,ASR,ESC,MergeSupport,DeviationWarning,SecuritySystem,NightVersion,ParkingRadar,ParkingVideo,PanoramicCamera,Cruise,AdaptiveCruise,AutomaticParking,EngineAutomatic,UphillSupport,AutomaticSkylight,PanoramicSkylight,Rims,AutomaticDoor,AutomaticTrunk,InduceTrunk,RoofRacks,EngineAntiTheft,ParkingLock,RemoteKey,KeylessStart,KeylessEntry,SteeringWheel,SeatMaterial,SeatAdjust,PSSeatAdjust,AfterSeatAdjust,SeatMemory,SeatFallDown,CentralArmrest,CupHolder,GPS,Positioning,Screen,ScreenSize,Interface,CDDVD,Speaker,LowLights,HighLights,LED,AdaptiveLights,HeadLights,SupportLights,FogLights,AtmosphereLights,AutomaticWindow,WindowLift,WindowAntiClipHand,InsulatedGlass,AutomaticRearviewAdjust,AutomaticRearviewFold,MakeupMirror,Wipers,InduceWipers,AirConditioning,WindOutlet
"C4世嘉 2016款 1.2THP 自动旗舰型",东风雪铁龙,紧凑型车,2015.11,"1.2T 136马力 L3",6挡手自一体,4588*1800*1496,4门5座三厢车,200,5.2,1.2,涡轮增压,手自一体变速箱(AT),手刹,"主● / 副●","前● / 后-","前● / 后●",●,●,●,●,●,●,●,●,●,-,-,-,"前- / 后●",●,-,-,-,-,●,●,●,-,●,-,-,-,-,●,●,●,●,●,●,真皮,●,"主● / 副-",-,-,-,"前● / 后●",●,○,○,●,7英寸,USB,-,6-7喇叭,卤素,卤素,●,-,●,-,●,-,"前● / 后●",主驾驶位,●,●,●,-,●,-,●,自动●,-
"C4世嘉 2016款 1.2THP 自动豪华型",东风雪铁龙,紧凑型车,2015.11,"1.2T 136马力 L3",6挡手自一体,4588*1800*1496,4门5座三厢车,200,5.2,1.2,涡轮增压,手自一体变速箱(AT),手刹,"主● / 副●","前● / 后-","前● / 后●",-,●,●,●,●,●,●,●,-,-,-,-,"前- / 后●",●,-,-,-,-,●,●,○,-,●,-,-,-,-,●,●,●,-,-,●,皮/织物混搭,●,"主○ / 副-",-,-,-,"前● / 后●",●,-,-,●,7英寸,USB,-,6-7喇叭,卤素,卤素,●,-,-,-,●,-,"前● / 后●",主驾驶位,●,●,●,-,●,-,-,自动●,-
"C4世嘉 2016款 1.6L 自动舒适型",东风雪铁龙,紧凑型车,2015.11,"1.6L 117马力 L4",6挡手自一体,4588*1800*1496,4门5座三厢车,187,6.2,1.6,自然吸气,手自一体变速箱(AT),手刹,"主● / 副●",-,-,-,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,●,○,-,●,-,-,-,-,●,●,●,-,-,-,织物,●,-,-,-,-,"前● / 后-",-,-,-,●,7英寸,USB,-,6-7喇叭,卤素,卤素,-,-,-,-,●,-,"前● / 后●",主驾驶位,●,●,●,-,●,-,-,手动●,-
"C4世嘉 2016款 1.6L 自动豪华型",东风雪铁龙,紧凑型车,2015.11,"1.6L 117马力 L4",6挡手自一体,4588*1800*1496,4门5座三厢车,187,6.2,1.6,自然吸气,手自一体变速箱(AT),手刹,"主● / 副●","前● / 后-","前● / 后●",-,●,●,●,●,●,●,●,-,-,-,-,"前- / 后●",●,-,-,-,-,-,●,○,-,●,-,-,-,-,●,●,●,-,-,●,皮/织物混搭,●,"主○ / 副-",-,-,-,"前● / 后●",●,-,-,●,7英寸,USB,-,6-7喇叭,卤素,卤素,●,-,-,-,●,-,"前● / 后●",主驾驶位,●,●,●,-,●,-,-,自动●,-
"C4世嘉 2016款 1.6THP 自动旗舰型",东风雪铁龙,紧凑型车,2015.11,"1.6T 167马力 L4",6挡手自一体,4588*1800*1496,4门5座三厢车,215,5.9,1.6,涡轮增压,手自一体变速箱(AT),手刹,"主● / 副●","前● / 后-","前● / 后●",●,●,●,●,●,●,●,●,●,-,-,-,"前- / 后●",●,-,-,-,-,●,●,●,-,●,-,-,-,-,●,●,●,●,●,●,真皮,●,"主● / 副-",-,-,-,"前● / 后●",●,○,○,●,7英寸,USB,-,6-7喇叭,卤素,卤素,●,-,●,-,●,-,"前● / 后●",主驾驶位,●,●,●,-,●,-,●,自动●,-
"C4世嘉 2016款 悦心版 1.6L 自动舒适型",东风雪铁龙,紧凑型车,2016.09,"1.6L 117马力 L4",6挡手自一体,4588*1800*1496,4门5座三厢车,187,6.2,1.6,自然吸气,手自一体变速箱(AT),手刹,"主● / 副●",-,-,-,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,●,○,-,●,-,-,-,-,●,●,●,-,-,-,织物,●,-,-,-,-,"前● / 后-",-,●,-,●,7英寸,USB,-,6-7喇叭,卤素,卤素,-,-,-,-,●,-,"前● / 后●",主驾驶位,●,●,●,-,●,-,-,手动●,-
"C4世嘉 2016款 悦心版 1.6L 自动豪华型",东风雪铁龙,紧凑型车,2016.09,"1.6L 117马力 L4",6挡手自一体,4588*1800*1496,4门5座三厢车,187,6.2,1.6,自然吸气,手自一体变速箱(AT),手刹,"主● / 副●","前● / 后-","前● / 后●",-,●,●,●,●,●,●,●,-,-,-,-,"前- / 后●",●,-,-,-,-,-,●,○,-,●,-,-,-,-,●,●,●,-,-,●,皮/织物混搭,●,"主○ / 副-",-,-,-,"前● / 后●",●,●,-,●,7英寸,USB,-,6-7喇叭,卤素,卤素,●,-,-,-,●,-,"前● / 后●",主驾驶位,●,●,●,-,●,-,-,自动●,-
"DS 5LS 2016款 1.6T 基础版THP160",长安标致雪铁龙,紧凑型车,2016.04,"1.6T 167马力 L4",6挡手自一体,4702*1840*1510,4门5座三厢车,212,6.3,1.6,涡轮增压,手自一体变速箱(AT),手刹,"主● / 副●","前● / 后-","前● / 后●",-,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,-,-,-,-,●,●,●,-,-,-,织物,●,-,-,-,比例放倒,"前● / 后-",-,-,-,-,-,USB+AUX,单碟CD,6-7喇叭,卤素,卤素,●,-,-,●,●,-,"前● / 后●",主驾驶位,●,-,●,-,●,-,-,手动●,-
"DS 5LS 2016款 1.6T 舒适版THP160",长安标致雪铁龙,紧凑型车,2016.04,"1.6T 167马力 L4",6挡手自一体,4702*1840*1510,4门5座三厢车,212,6.3,1.6,涡轮增压,手自一体变速箱(AT),手刹,"主● / 副●","前● / 后-","前● / 后●",-,●,●,●,●,●,●,●,-,-,-,-,"前- / 后●",-,-,-,-,-,●,●,○,-,●,-,-,-,-,●,●,●,-,-,●,织物,●,-,-,-,比例放倒,"前● / 后-",-,○,-,○,(选装7英寸),USB+AUX,单碟CD,6-7喇叭,卤素,卤素,●,-,-,●,●,-,"前● / 后●",主驾驶位,●,-,●,-,●,-,-,手动●,-
"DS 5LS 2016款 1.6T 风尚版THP160",长安标致雪铁龙,紧凑型车,2016.04,"1.6T 167马力 L4",6挡手自一体,4702*1840*1510,4门5座三厢车,212,6.3,1.6,涡轮增压,手自一体变速箱(AT),手刹,"主● / 副●","前● / 后-","前● / 后●",-,●,●,●,●,●,●,●,-,-,-,-,"前- / 后●",-,-,-,-,-,●,●,●,-,●,-,-,-,-,●,●,●,-,-,●,织物(选装皮/织物混,●,-,-,-,比例放倒,"前● / 后○",○,○,-,●,7英寸,USB+AUX,单碟DVD,6-7喇叭,卤素,卤素,●,-,-,●,●,-,"前● / 后●",主驾驶位,●,-,●,-,●,-,-,手动●,-
